event_id,asset_class,resolution,n_bars_raw,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,episode_start,episode_end,n_obs
eq-2015-chinadev,equity,day,43,v,0.003507,0.040211,11.466,120.0,168.0,96.0,2015-08-19 00:00:00+00:00,2015-08-28 00:00:00+00:00,18
eq-2015-chinadev,equity,day,43,sigma,0.006689,0.026304,3.932,216.0,312.0,,2015-08-21 00:00:00+00:00,2015-09-10 00:00:00+00:00,18
eq-2015-chinadev,equity,day,43,q,3641830000.0,6612690000.0,1.816,,,,2015-08-24 00:00:00+00:00,2015-08-25 00:00:00+00:00,18
eq-2018-volmageddon,equity,day,40,v,0.027946,0.768245,27.49,72.0,168.0,192.0,2018-02-02 00:00:00+00:00,2018-02-13 00:00:00+00:00,18
eq-2018-volmageddon,equity,day,40,sigma,0.057413,0.304428,5.302,240.0,264.0,,2018-01-31 00:00:00+00:00,2018-02-20 00:00:00+00:00,18
eq-2020-covid,equity,day,62,v,0.004259,0.127652,29.974,432.0,336.0,72.0,2020-02-27 00:00:00+00:00,2020-03-19 00:00:00+00:00,39
eq-2020-covid,equity,day,62,sigma,0.009215,0.075383,8.181,528.0,768.0,,2020-02-25 00:00:00+00:00,2020-04-15 00:00:00+00:00,39
eq-2020-covid,equity,day,62,q,3761700000.0,9053950000.0,2.407,264.0,312.0,576.0,2020-03-06 00:00:00+00:00,2020-04-13 00:00:00+00:00,39
eq-2022-ukraine,equity,day,43,v,0.009505,0.071745,7.548,0.0,48.0,48.0,2022-03-09 00:00:00+00:00,2022-03-11 00:00:00+00:00,18
eq-2022-ukraine,equity,day,43,sigma,0.013892,0.037666,2.711,0.0,120.0,,2022-03-01 00:00:00+00:00,2022-03-15 00:00:00+00:00,18
eq-2022-ukraine,equity,day,43,q,38905400.0,88823100.0,2.283,0.0,24.0,168.0,2022-02-24 00:00:00+00:00,2022-03-03 00:00:00+00:00,18
eq-2023-svb,equity,day,42,v,0.007772,0.131364,16.901,96.0,168.0,168.0,2023-03-09 00:00:00+00:00,2023-03-20 00:00:00+00:00,18
eq-2023-svb,equity,day,42,sigma,0.011578,0.058381,5.042,312.0,408.0,,2023-03-09 00:00:00+00:00,2023-03-31 00:00:00+00:00,18
eq-2023-svb,equity,day,42,q,6047300.0,97268000.0,16.085,24.0,408.0,,2023-03-09 00:00:00+00:00,2023-03-31 00:00:00+00:00,18
eq-2024-yencarry,equity,day,36,v,0.00817,0.132341,16.199,96.0,96.0,48.0,2024-07-31 00:00:00+00:00,2024-08-07 00:00:00+00:00,12
